Number,Room,Pattern,Choice,Winnings,Condition
1,up,A,3,3,1
2,down,A,2,2,1
5,down,B,2,2,1
6,up,B,3,3,1
7,up,A,2,2,1
8,down,A,3,3,1
9,up,B,2,2,1
10,down,B,3,3,1
11,up,B,2,2,1
12,down,B,3,3,1
13,down,B,3,3,1
14,up,B,2,2,1
15,up,A,2,2,1
16,down,A,3,3,1
17,up,B,2,2,1
18,down,B,3,3,1
19,up,B,3,3,1
20,down,B,2,2,1
21,up,A,3,3,1
22,down,A,2,2,1
23,up,B,2,2,1
24,down,B,3,3,1
25,up,B,2,2,1
26,down,B,3,3,1
27,up,A,3,3,1
28,down,A,2,2,1
29,up,A,3,3,1
30,down,A,2,2,1
31,up,B,2,2,1
32,down,B,3,3,1
33,up,A,2,2,1
34,down,A,3,3,1
35,up,A,3,0,1
36,down,B,3,0,1
37,up,A,3,3,1
38,down,A,2,2,1
39,up,A,2,2,1
40,down,A,3,3,1
41,up,B,2,2,1
42,down,B,3,3,1
43,up,B,2,2,1
44,down,B,3,3,1
45,up,A,2,2,1
46,down,A,3,3,1
49,up,B,3,3,1
50,down,B,2,2,1
51,up,B,2,2,1
52,down,B,3,3,1
53,up,B,2,2,1
54,down,B,3,3,1
55,up,A,3,0,1
56,down,B,3,0,1
57,up,B,3,0,1
58,down,A,3,0,1
59,down,A,2,2,1
60,up,A,3,3,1
61,up,B,2,2,1
62,down,B,3,3,1
63,up,A,2,0,1
64,down,B,2,0,1
65,up,A,3,3,1
66,down,A,2,2,1
67,up,A,2,2,1
68,down,A,3,3,1
69,up,A,2,2,1
70,down,A,3,3,1
71,up,A,3,3,1
72,down,A,2,2,1
73,down,A,3,3,1
74,up,A,2,2,1
75,up,B,3,3,1
76,down,B,2,2,1
77,up,A,2,2,1
78,down,A,3,3,1
79,up,B,2,0,1
80,down,A,2,0,1
81,up,A,2,2,1
82,down,A,3,3,1
83,up,A,3,0,1
84,down,B,3,0,1
85,up,B,2,2,1
86,down,B,3,3,1
87,up,A,2,2,1
88,down,A,3,3,1
1,1,B,3,3,2
2,2,B,2,2,2
3,1,B,2,2,2
4,2,B,3,3,2
5,1,A,2,0,2
6,2,B,2,0,2
7,2,B,3,3,2
8,1,B,2,2,2
9,1,B,3,3,2
10,2,B,2,2,2
11,1,B,2,2,2
12,2,B,3,3,2
13,1,B,3,3,2
14,2,B,2,2,2
15,1,A,3,3,2
16,2,A,2,2,2
17,1,A,2,0,2
18,2,B,2,0,2
19,1,A,3,3,2
20,2,A,2,2,2
21,1,B,3,0,2
22,2,A,3,0,2
23,1,A,3,3,2
24,2,A,2,2,2
23b,1,B,2,2,2
24b,2,B,3,3,2
25,1,B,3,3,2
26,2,B,2,2,2
27,1,A,3,3,2
28,2,A,2,2,2
29,1,A,2,2,2
30,2,A,3,3,2
31,1,B,2,2,2
32,2,B,3,3,2
33,1,B,3,3,2
34,2,B,2,2,2
35,1,A,3,3,2
36,2,A,2,2,2
37,1,A,2,2,2
38,2,A,3,3,2
39,1,B,2,2,2
40,2,B,3,3,2
41,1,A,2,2,2
42,2,A,3,3,2
43,1,A,3,3,2
44,2,A,2,2,2
47,2,A,3,3,2
48,1,A,2,2,2
49,1,A,2,2,2
50,2,A,3,3,2
51,1,A,3,3,2
52,2,A,2,2,2
53,1,B,3,3,2
54,2,B,2,2,2
55,1,A,3,0,2
56,2,B,3,0,2
57,1,A,2,2,2
58,2,A,3,3,2
59,1,B,2,2,2
60,2,B,3,3,2
61,1,B,3,3,2
62,2,B,2,2,2
63,1,A,3,3,2
64,2,A,2,2,2
65,1,A,2,2,2
66,2,A,3,3,2
67,1,B,2,2,2
68,2,B,3,3,2
69,1,B,3,0,2
70,2,A,3,0,2
71,1,A,3,3,2
72,2,A,2,2,2
73,1,A,2,0,2
74,2,B,2,0,2
75,1,B,2,2,2
76,2,B,3,3,2
77,1,B,3,0,2
78,2,A,3,0,2
79,1,A,3,3,2
80,2,A,2,2,2
81,1,B,3,3,2
82,2,B,2,2,2
83,2,A,3,3,2
84,1,A,2,2,2
